,topic,username,repo_name,repo_desc,stars,repo_url,tags
3,Algorithm,CyC2018,CS-Notes,📚 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,169505,https://github.com/CyC2018/CS-Notes,"['python', 'java', 'computer-science', 'algorithm', 'leetcode', 'cpp', 'interview', 'system-design']"
4,Algorithm,yangshun,tech-interview-handbook,💯 Curated coding interview preparation materials for busy software engineers,103495,https://github.com/yangshun/tech-interview-handbook,"['algorithm', 'algorithms', 'interview-practice', 'interview-questions', 'coding-interviews', 'interview-preparation', 'system-design', 'algorithm-interview', 'behavioral-interviews', 'algorithm-interview-questions']"
5,Algorithm,kdn251,interviews,Everything you need to know to get the job.,60761,https://github.com/kdn251/interviews,"['java', 'algorithm', 'algorithms', 'leetcode', 'interview', 'interviews', 'interview-practice', 'algorithm-competitions', 'leetcode-solutions', 'interview-questions', 'technical-coding-interview', 'algorithm-challenges', 'coding-interviews', 'coding-challenge', 'leetcode-questions', 'coding-challenges', 'leetcode-java', 'interview-prep', 'interview-preparation', 'coding-interview']"
6,Algorithm,krahets,hello-algo,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程，支持 Java, C++, Python, Go, JS, TS, C#, Swift, Rust, Dart, Zig 等语言。",57437,https://github.com/krahets/hello-algo,"['algorithm', 'data-structure', 'algorithms', 'leetcode', 'algo', 'data-structures', 'dsa', 'mkdocs-material', 'data-structures-and-algorithms']"
7,Algorithm,TheAlgorithms,Java,All Algorithms implemented in Java,55194,https://github.com/TheAlgorithms/Java,"['search', 'java', 'algorithm', 'algorithms', 'sort', 'data-structures', 'sorting-algorithms', 'algorithm-challenges', 'hacktoberfest', 'algorithms-datastructures']"
8,Algorithm,azl397985856,leetcode,LeetCode Solutions: A Record of My Problem Solving Journey.( leetcode题解，记录自己的leetcode解题之路。),53071,https://github.com/azl397985856/leetcode,"['javascript', 'python', 'java', 'computer-science', 'tree', 'algorithm', 'algorithms', 'leetcode', 'cpp', 'interview', 'algo', 'data-structures', 'leetcode-solutions', 'algorithms-datastructures']"
9,Algorithm,algorithm-visualizer,algorithm-visualizer,🎆Interactive Online Platform that Visualizes Algorithms from Code,45593,https://github.com/algorithm-visualizer/algorithm-visualizer,"['visualization', 'algorithm', 'data-structure', 'animation']"
10,Algorithm,youngyangyang04,leetcode-master,《代码随想录》LeetCode 刷题攻略：200道经典题目刷题顺序，共60w字的详细图解，视频难点剖析，50余张思维导图，支持C++，Java，Python，Go，JavaScript等多语言版本，从此算法学习不再迷茫！🔥🔥 来看看，你会发现相见恨晚！🚀,44314,https://github.com/youngyangyang04/leetcode-master,"['javascript', 'python', 'java', 'go', 'algorithm', 'leetcode', 'cpp', 'interview', 'programmer', 'offer']"
11,Algorithm,huihut,interview,"📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology, including language, program library, data structure, algorithm, system, network, link loading library, interview experience, recruitment, recommendation…",31545,https://github.com/huihut/interview,"['c', 'algorithm', 'database', 'leetcode', 'cpp', 'stl', 'interview', 'operating-system', 'data-structures', 'interviews', 'interview-practice', 'interview-questions', 'interview-preparation']"
12,Algorithm,halfrost,LeetCode-Go,"✅ Solutions to LeetCode by Go, 100% test coverage, runtime beats 100% / LeetCode 题解",31132,https://github.com/halfrost/LeetCode-Go,"['go', 'golang', 'facebook', 'algorithm', 'math', 'algorithms', 'leetcode', 'pattern', 'algo', 'acm-icpc', 'algorithm-competitions', 'leetcode-solutions', 'interview-questions', 'dynamic-programming', 'algorithms-and-data-structures', 'leetcode-golang', 'leetcode-go']"
